ID,Título del caso de prueba,Condición previa,Paso,Descripción de los pasos,Resultado esperado,Estado,ID del error
CASO-1,Desplazamiento del mapa,Abrir la aplicación Urban Routes,1,Desplazarse por el mapa hacia arriba y hacia abajo.,El mapa se mueve. Todos los objetos se muestran según el diseño.,Aprobado,
CASO-2,Zoom del mapa,La aplicación Urban Routes no debe estar abierta,1,Abrir la aplicación Urban Routes,El nivel de zoom aumenta en un valor. Todos los objetos se muestran según el diseño.,Aprobado,
,,,2,Hacer clic en el botón de navegación que se encuentra en la esquina inferior derecha del mapa,,,
,,,3,"Hacer clic en el botón ""más"" (+) en la esquina inferior derecha.",,,
CASO-3,No se puede hacer clic en los encabezados del área en el mapa,Abrir la aplicación Urban Routes,1,Hacer clic en el encabezado de área en el mapa (ejemplo: Hollywood).,No ocurre nada. Los usuarios no pueden interactuar con los encabezados del mapa.,No Aprobado,
CASO-4,No se puede hacer clic en los encabezados de la ciudad en el mapa,Abrir la aplicación Urban Routes,1,Hacer clic en el encabezado de la ciudad en el mapa (ejemplo: West Hollywood).,No ocurre nada. Los encabezados de la ciudad no se pueden seleccionar.,No Aprobado,
CASO-5,"Se puede seleccionar el campo ""Desde""",Abrir la aplicación Urban Routes,1,"Hacer clic en el campo ""Desde"".","Se selecciona el campo ""Desde"". El cursor parpadea. El campo de búsqueda está vacío.",Aprobado,
CASO-6,"Se pueden buscar objetos en el campo ""Hasta""",Abrir la aplicación Urban Routes,1,"Hacer clic en el campo ""Hasta"".",Se muestra la lista de estaciones de metro.,No Aprobado,
,,Abrir la aplicación Urban Routes,2,"Escribir ""Subway"" (Metro).",,,
CASO-7,"El pin de la dirección aparece después de completar el campo ""Desde""",Abrir la aplicación Urban Routes,1,"Hacer clic en el campo ""Desde"".",El mapa hace zoom sobre el pin de la dirección seleccionada. La vista coincide con la descripción del diseño.,Aprobado,
,,"El campo ""Desde"" debe estar vacío",2,"Ingresar una dirección (ejemplo: East 2nd Street, 601).",,,
CASO-8,"El pin de la dirección aparece después de completar el campo ""Hasta""",Abrir la aplicación Urban Routes,1,"Hacer clic en el campo ""Hasta"".",El mapa hace zoom sobre el pin de la dirección seleccionada. La vista coincide con la descripción del diseño.,No Aprobado,
,,"El campo ""Hasta"" debe estar vacío",2,Ingresar una dirección (ejemplo: 1300 1st St).,,,
CASO-9,"La dirección se elimina después de borrar el campo ""Desde""","Abrir la aplicación Urban Routes. El campo ""Desde"" debe estar lleno",1,"Hacer clic en la ""X"" del campo ""Desde"".",El campo está vacío. La dirección introducida anteriormente se ha eliminado del campo. La marca correspondiente desaparece del mapa.,No Aprobado,
